variant,margin_m,band_m,cohort,threshold,observations,instances,scenes,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m,eligible_scenes,lidar_wins,radar_wins,tied_scenes,equal_scene_lidar_percent,equal_scene_radar_percent,equal_scene_difference_pp,min_scene_difference_pp,max_scene_difference_pp,leave_one_scene_out_min_pp,equal_track_lidar_percent,equal_track_radar_percent
aligned,0,250-300,vehicles,5,166,44,4,129,6,6,123,0,37,77.71084337349397,3.614457831325301,74.09638554216868,250.0497157484766,299.80861071369907,4,4,0,0,76.557246146512,3.4542348641347527,73.10301128237725,55.172413793103445,87.09677419354838,68.4384236453202,73.33211143695014,6.25
aligned,0,250-300,passenger_cars,1,82,8,3,70,23,21,49,2,10,85.36585365853658,28.04878048780488,57.3170731707317,250.60822551614362,297.8225789709488,3,3,0,0,88.71635610766045,24.43064182194617,64.28571428571429,42.857142857142854,100.0,46.42857142857143,65.30172413793103,38.8739224137931
aligned,0,250-300,passenger_cars,3,82,8,3,67,0,0,67,0,15,81.70731707317073,0.0,81.70731707317073,250.60822551614362,297.8225789709488,3,3,0,0,86.5424430641822,0.0,86.5424430641822,73.91304347826086,100.0,79.81366459627328,64.00862068965517,0.0
aligned,0,250-300,passenger_cars,5,82,8,3,64,0,0,64,0,18,78.04878048780488,0.0,78.04878048780488,250.60822551614362,297.8225789709488,3,3,0,0,84.36853002070393,0.0,84.36853002070393,67.3913043478261,100.0,76.5527950310559,62.71551724137931,0.0
aligned,0,250-300,forward_vehicles,1,109,33,4,93,56,47,46,9,7,85.3211009174312,51.37614678899083,33.944954128440365,250.0497157484766,299.80861071369907,4,3,0,1,83.4112268095644,53.668351398530426,29.74287541103398,0.0,45.65217391304348,24.439775910364148,71.71717171717171,65.71969696969697
aligned,0,250-300,forward_vehicles,3,109,33,4,93,9,9,84,0,16,85.3211009174312,8.256880733944955,77.06422018348624,250.0497157484766,299.80861071369907,4,4,0,0,83.4112268095644,6.931504485852312,76.4797223237121,50.0,94.11764705882352,70.60041407867494,71.71717171717171,13.131313131313131
aligned,0,250-300,forward_vehicles,5,109,33,4,91,6,6,85,0,18,83.4862385321101,5.5045871559633035,77.98165137614679,250.0497157484766,299.80861071369907,4,4,0,0,80.63344903178663,4.455659075224292,76.17778995656234,44.44444444444444,94.11764705882352,70.19783758914194,68.68686868686868,9.090909090909092
aligned,0,250-300,all,1,325,93,5,258,65,56,202,9,58,79.38461538461539,20.0,59.384615384615394,250.0497157484766,299.80861071369907,5,5,0,0,80.23097564449722,21.595996213427657,58.634979431069574,34.48275862068966,84.61538461538461,52.139878134990816,74.55708530110195,23.40371719273904
aligned,0,250-300,all,3,325,93,5,232,9,9,223,0,93,71.38461538461539,2.769230769230769,68.61538461538461,250.0497157484766,299.80861071369907,5,5,0,0,74.02267891651547,2.76863667903581,71.25404223747964,59.055118110236215,80.0,69.06755279684957,66.62953476168876,3.9426523297491034
aligned,0,250-300,all,5,325,93,5,207,6,6,201,0,118,63.69230769230769,1.8461538461538463,61.846153846153854,250.0497157484766,299.80861071369907,5,5,0,0,62.83963622763514,1.7640208767007572,61.07561535093439,52.75590551181102,73.33333333333333,58.011185855334645,59.19848448464473,2.956989247311828
aligned,0,300-400,vehicles,1,165,33,4,147,22,17,130,5,13,89.0909090909091,13.333333333333334,75.75757575757575,301.1243306220302,397.6820703976072,4,4,0,0,80.02125629012667,22.03134941292151,57.98990687720516,29.411764705882355,88.49557522123894,47.82135076252723,74.53102453102451,22.65512265512265
aligned,0,300-400,vehicles,3,165,33,4,140,5,4,136,1,24,84.84848484848484,3.0303030303030303,81.81818181818183,301.1243306220302,397.6820703976072,4,4,0,0,73.63858522760135,3.4414945919370696,70.1970906356643,58.82352941176471,90.2654867256637,63.507625272331154,68.36376184202271,5.916305916305916
aligned,0,300-400,vehicles,5,165,33,4,135,2,1,134,1,29,81.81818181818183,1.2121212121212122,80.60606060606061,301.1243306220302,397.6820703976072,4,4,0,0,68.78434264561281,1.6101278269419863,67.17421481867083,41.17647058823529,90.2654867256637,59.47712418300654,63.181504485852315,3.463203463203463
