variant,elevation_deg,band_m,group,tolerance_m,frames,reference_voxels,lidar_supported,lidar_percent,lidar_equal_frame_percent,radar_supported,radar_percent,radar_equal_frame_percent
ros_origin,10,20-30,raised_geometry,0.4,11,713,345,48.38709677419355,56.91332104009493,25,3.506311360448808,2.6582519450231796
ros_origin,10,20-30,raised_geometry,0.8,11,713,572,80.22440392706872,87.78435919373395,147,20.61711079943899,19.46390051811302
ros_origin,10,20-30,raised_geometry,1.2,11,713,654,91.72510518934081,95.68612440191387,328,46.00280504908836,43.33309145068593
ros_origin,10,20-30,traversable_label,0.4,12,1653,998,60.375075620084694,57.67036129766735,76,4.597701149425287,4.318435428774505
ros_origin,10,20-30,traversable_label,0.8,12,1653,1484,89.7761645493043,88.85258294111674,381,23.049001814882033,21.070161816282912
ros_origin,10,20-30,traversable_label,1.2,12,1653,1588,96.06775559588627,94.77761500938459,755,45.674531155474895,43.24964805660583
ros_origin,10,30-40,near_ground_geometry,0.4,7,170,102,60.0,43.263909046172934,7,4.117647058823529,1.9678190911067623
ros_origin,10,30-40,near_ground_geometry,0.8,7,170,156,91.76470588235294,76.60084208029413,36,21.176470588235293,11.267666884105239
ros_origin,10,30-40,near_ground_geometry,1.2,7,170,167,98.23529411764706,85.71428571428571,80,47.05882352941177,29.684516396845165
ros_origin,10,30-40,nontraversable_label,0.4,19,7973,3896,48.86491910196914,51.44097551088866,350,4.389815627743634,4.386485967152672
ros_origin,10,30-40,nontraversable_label,0.8,19,7973,6700,84.03361344537815,86.47320930063691,1514,18.989088172582466,19.61638501978275
ros_origin,10,30-40,nontraversable_label,1.2,19,7973,7435,93.25222626363978,94.49326891510975,2778,34.84259375391948,35.65183948281259
ros_origin,10,30-40,potential_label,0.4,16,2133,1249,58.55602437880919,57.228121549027584,51,2.390998593530239,2.6497292581506926
ros_origin,10,30-40,potential_label,0.8,16,2133,1986,93.10829817158931,93.58051388457194,295,13.830285982184716,15.869689619372604
ros_origin,10,30-40,potential_label,1.2,16,2133,2087,97.84341303328645,98.36610082360107,574,26.910454758556025,30.8641877390493
ros_origin,10,30-40,raised_geometry,0.4,6,87,44,50.57471264367816,32.996201329534664,1,1.1494252873563218,0.6172839506172839
ros_origin,10,30-40,raised_geometry,0.8,6,87,81,93.10344827586206,74.81481481481482,14,16.091954022988507,8.665716999050334
ros_origin,10,30-40,raised_geometry,1.2,6,87,84,96.55172413793103,76.66666666666667,46,52.87356321839081,31.277302943969612
ros_origin,10,30-40,traversable_label,0.4,10,872,425,48.73853211009175,43.006824830358326,42,4.81651376146789,3.8087365793165326
ros_origin,10,30-40,traversable_label,0.8,10,872,721,82.68348623853211,77.52705285160421,202,23.165137614678898,17.479422400870817
ros_origin,10,30-40,traversable_label,1.2,10,872,787,90.25229357798165,86.01839343152191,400,45.87155963302752,34.84765737393094
ros_origin,20,10-20,near_ground_geometry,0.4,15,3179,2753,86.59955960994023,87.63095937574512,108,3.3972947467757155,3.032227914454905
ros_origin,20,10-20,near_ground_geometry,0.8,15,3179,3169,99.68543567159485,99.78260985839977,680,21.390374331550802,20.985459137795917
ros_origin,20,10-20,near_ground_geometry,1.2,15,3179,3179,100.0,100.0,1396,43.913180245360174,44.059090493184605
ros_origin,20,10-20,nontraversable_label,0.4,20,14133,10059,71.1738484398217,73.74419911260217,576,4.075567819995754,4.140410009519405
ros_origin,20,10-20,nontraversable_label,0.8,20,14133,13507,95.57065025118517,95.8665834859875,2574,18.212693695606028,18.66720935852509
ros_origin,20,10-20,nontraversable_label,1.2,20,14133,13968,98.83251963489705,98.52460905515679,5110,36.15651312530956,36.766001853376466
ros_origin,20,10-20,potential_label,0.4,20,18394,14376,78.15592040882896,77.47318428627173,657,3.5718168968141786,3.5554850025667037
ros_origin,20,10-20,potential_label,0.8,20,18394,17997,97.8416875067957,95.31769603797825,3533,19.20735022289877,20.026575943011593
ros_origin,20,10-20,potential_label,1.2,20,18394,18291,99.44003479395455,96.98225305827035,6797,36.952267043601175,38.593177064892416
ros_origin,20,10-20,raised_geometry,0.4,15,3014,2010,66.68878566688785,69.73813689806062,87,2.8865295288652955,2.8467729568782314
ros_origin,20,10-20,raised_geometry,0.8,15,3014,2901,96.25082946250829,97.00992397867235,497,16.489714664897146,16.349934048973005
ros_origin,20,10-20,raised_geometry,1.2,15,3014,3012,99.93364299933643,99.85172413793104,1163,38.58659588586596,37.969299792039585
