band_m,true_class,true_group,predicted_class,points
50-75,high_grass,vegetation,natural_ground,2123
50-75,high_grass,vegetation,obstacle,473
50-75,high_grass,vegetation,vehicle,2
50-75,high_grass,vegetation,vegetation,12510
50-75,high_grass,vegetation,human,0
50-75,low_grass,ground_cover,other,0
50-75,low_grass,ground_cover,artificial_structures,0
50-75,low_grass,ground_cover,artificial_ground,31
50-75,low_grass,ground_cover,natural_ground,20365
50-75,low_grass,ground_cover,obstacle,62
50-75,low_grass,ground_cover,vehicle,0
50-75,low_grass,ground_cover,vegetation,5408
50-75,low_grass,ground_cover,human,0
50-75,misc_sign,obstacle_candidate,other,0
50-75,misc_sign,obstacle_candidate,artificial_structures,0
50-75,misc_sign,obstacle_candidate,artificial_ground,0
50-75,misc_sign,obstacle_candidate,natural_ground,0
50-75,misc_sign,obstacle_candidate,obstacle,71
50-75,misc_sign,obstacle_candidate,vehicle,0
50-75,misc_sign,obstacle_candidate,vegetation,0
50-75,misc_sign,obstacle_candidate,human,0
50-75,obstacle,obstacle_candidate,other,0
50-75,obstacle,obstacle_candidate,artificial_structures,0
50-75,obstacle,obstacle_candidate,artificial_ground,0
50-75,obstacle,obstacle_candidate,natural_ground,0
50-75,obstacle,obstacle_candidate,obstacle,77
50-75,obstacle,obstacle_candidate,vehicle,0
50-75,obstacle,obstacle_candidate,vegetation,237
50-75,obstacle,obstacle_candidate,human,0
50-75,pole,obstacle_candidate,other,0
50-75,pole,obstacle_candidate,artificial_structures,0
50-75,pole,obstacle_candidate,artificial_ground,0
50-75,pole,obstacle_candidate,natural_ground,0
50-75,pole,obstacle_candidate,obstacle,79
50-75,pole,obstacle_candidate,vehicle,0
50-75,pole,obstacle_candidate,vegetation,58
50-75,pole,obstacle_candidate,human,0
50-75,road_marking,ground_surface,other,0
50-75,road_marking,ground_surface,artificial_structures,0
50-75,road_marking,ground_surface,artificial_ground,67
50-75,road_marking,ground_surface,natural_ground,101
50-75,road_marking,ground_surface,obstacle,0
50-75,road_marking,ground_surface,vehicle,0
50-75,road_marking,ground_surface,vegetation,43
50-75,road_marking,ground_surface,human,0
50-75,soil,ground_surface,other,0
50-75,soil,ground_surface,artificial_structures,3
50-75,soil,ground_surface,artificial_ground,0
50-75,soil,ground_surface,natural_ground,418
50-75,soil,ground_surface,obstacle,28
50-75,soil,ground_surface,vehicle,0
50-75,soil,ground_surface,vegetation,81
50-75,soil,ground_surface,human,0
50-75,street_light,obstacle_candidate,other,0
50-75,street_light,obstacle_candidate,artificial_structures,20
50-75,street_light,obstacle_candidate,artificial_ground,0
50-75,street_light,obstacle_candidate,natural_ground,0
50-75,street_light,obstacle_candidate,obstacle,56
50-75,street_light,obstacle_candidate,vehicle,0
50-75,street_light,obstacle_candidate,vegetation,30
50-75,street_light,obstacle_candidate,human,0
50-75,tree_crown,vegetation,other,0
50-75,tree_crown,vegetation,artificial_structures,0
50-75,tree_crown,vegetation,artificial_ground,0
50-75,tree_crown,vegetation,natural_ground,0
50-75,tree_crown,vegetation,obstacle,0
50-75,tree_crown,vegetation,vehicle,0
50-75,tree_crown,vegetation,vegetation,1262
50-75,tree_crown,vegetation,human,0
50-75,tree_trunk,obstacle_candidate,other,0
50-75,tree_trunk,obstacle_candidate,artificial_structures,0
50-75,tree_trunk,obstacle_candidate,artificial_ground,0
50-75,tree_trunk,obstacle_candidate,natural_ground,0
50-75,tree_trunk,obstacle_candidate,obstacle,0
50-75,tree_trunk,obstacle_candidate,vehicle,0
50-75,tree_trunk,obstacle_candidate,vegetation,65
50-75,tree_trunk,obstacle_candidate,human,0
75-100,asphalt,ground_surface,other,0
75-100,asphalt,ground_surface,artificial_structures,0
75-100,asphalt,ground_surface,artificial_ground,518
75-100,asphalt,ground_surface,natural_ground,485
75-100,asphalt,ground_surface,obstacle,0
