mode,margin_m,band_m,cohort,observations,instances,scenes,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m,lidar_ge_3_percent,lidar_ge_5_percent,lidar_points_p25,lidar_points_p50,lidar_points_p75,lidar_points_p90,lidar_equal_track_percent,radar_ge_3_percent,radar_ge_5_percent,radar_points_p25,radar_points_p50,radar_points_p75,radar_points_p90,radar_equal_track_percent
static_same_subset,0.5,200-250,vehicles,255,9,1,189,187,139,50,48,18,74.11764705882354,73.33333333333333,0.7843137254902044,200.01251389859453,249.9157658332935,65.88235294117646,61.568627450980394,0.0,13.0,76.0,321.2,75.53517632465,38.03921568627451,21.96078431372549,0.0,2.0,4.0,7.0,55.68709597885798
static_same_subset,0.5,250-300,all,594,28,1,464,205,181,283,24,106,78.11447811447812,34.51178451178451,43.602693602693606,250.11739360716103,299.87006924638484,69.02356902356902,61.111111111111114,1.0,6.5,13.0,54.700000000000045,78.00990323665698,7.23905723905724,0.8417508417508417,0.0,0.0,1.0,2.0,19.572176696765663
static_same_subset,0.5,250-300,vehicles,264,5,1,204,160,144,60,16,44,77.27272727272727,60.60606060606061,16.666666666666664,250.11750228053708,299.5495255467652,74.62121212121212,70.83333333333334,2.0,9.0,49.0,76.0,64.52726017943408,15.909090909090908,1.893939393939394,0.0,1.0,2.0,3.0,57.7087646652864
static_same_subset,0.5,300-400,all,317,17,1,211,67,52,159,15,91,66.5615141955836,21.13564668769716,45.42586750788643,300.0392261284474,398.2987651940153,54.889589905362776,45.110410094637224,0.0,4.0,12.0,46.0,60.57986736446944,3.1545741324921135,0.0,0.0,0.0,0.0,2.0,11.301805886806639
static_same_subset,0.5,300-400,vehicles,88,3,1,77,37,37,40,0,11,87.5,42.04545454545455,45.45454545454545,305.3321725206024,360.39229981232,86.36363636363636,81.81818181818183,6.0,34.0,62.25,77.19999999999999,75.77777777777777,10.227272727272728,0.0,0.0,0.0,2.0,2.299999999999997,16.444444444444446
acquisition_aligned,0,100-150,all,1213,58,1,1108,228,209,899,19,86,91.34377576257214,18.796372629843365,72.54740313272877,100.01457537159469,149.98265214178997,87.05688375927453,84.41879637262984,10.0,35.0,74.0,106.0,85.41296542398173,10.55234954657873,9.975267930750206,0.0,0.0,0.0,3.7999999999999545,19.387025453595363
acquisition_aligned,0,100-150,vehicles,238,19,1,186,155,138,48,17,35,78.15126050420169,65.12605042016807,13.025210084033612,100.72348409572426,149.98265214178997,60.50420168067227,53.36134453781513,1.0,5.0,260.0,476.4000000000002,73.312447786132,53.78151260504202,50.84033613445378,0.0,5.0,10.0,18.0,45.0
acquisition_aligned,0,150-200,all,1329,49,1,1164,430,369,795,61,104,87.58465011286681,32.35515425131678,55.229495861550035,150.0086873666493,199.9727196236663,84.87584650112868,80.81264108352144,6.0,18.0,50.0,498.60000000000014,85.7659189855381,21.7456734386757,15.80135440180587,0.0,0.0,2.0,7.0,15.33906472998707
acquisition_aligned,0,150-200,vehicles,579,13,1,466,416,355,111,61,52,80.48359240069085,71.84801381692574,8.635578583765113,150.0086873666493,199.9727196236663,76.68393782383419,72.88428324697755,4.0,15.0,468.5,673.6000000000004,69.11329054515805,49.91364421416235,36.26943005181347,0.0,2.0,7.0,12.0,52.324299443137946
acquisition_aligned,0,200-250,all,767,41,1,646,113,93,553,20,101,84.22425032594523,14.732724902216427,69.4915254237288,200.00315051034195,249.99656504791636,75.09778357235984,65.1890482398957,3.0,12.0,31.0,84.39999999999998,83.84543066488246,3.780964797913951,0.1303780964797914,0.0,0.0,0.0,1.0,9.478927905200685
